😂	352836
😍	75915
😘	66299
❤	55770
😭	43327
💯	28249
😊	26493
😁	19234
🤔	17571
💖	13401
🤣	13378
😉	12269
😔	11252
🙄	11229
😢	9913
🤗	9702
🎂	9654
💙	8945
😒	8641
🎉	8596
😎	8471
💜	8350
💀	8307
💕	8192
👀	8086
😚	7972
😏	7427
😋	6836
🎈	6497
😅	6228
☺	5820
😩	5732
😀	5605
😑	5604
💪	5574
😡	5509
😜	5371
😇	5178
💋	5122
💔	4714
👌	4671
😥	4664
🙏	4549
😕	4494
😙	4460
💗	4344
😴	4210
😄	4189
😣	4183
🔥	4178
😐	3913
🙌	3814
💦	3813
💞	3603
🎁	3518
😞	3505
💚	3505
💍	3387
😃	3364
💓	3231
✌	2822
😱	2789
👑	2707
😝	2700
😌	2688
😪	2566
😫	2486
🎊	2414
💘	2410
😆	2367
💛	2257
👍	2253
😠	2239
🗣	2222
👏	2220
😈	2202
❤️	2132
🖕	2130
🙂	2087
👅	1998
😛	1991
💰	1945
👊	1940
🙈	1825
😷	1804
🙃	1755
💝	1707
😳	1624
🎶	1612
🤦🏾	1602
😗	1575
💁	1549
😮	1530
🙁	1520
😓	1479
🤦🏽	1356
😬	1353
❗	1275
🍆	1255
😖	1254
😟	1229
🔐	1184
🙊	1132
💩	1103
😤	1075
🤷🏾	1073
✊	1065
🤘	1030
🤷🏽	1030
💨	1015
😯	1003
💸	976
♥	957
✨	952
🇺🇸	947
💪🏾	924
🌞	914
😶	906
🌹	903
🤑	902
😲	881
💟	878
🔫	862
🎄	807
👆	777
☕	771
👄	768
😨	768
🍻	753
🔒	745
🖤	734
🤦	731
🍷	727
🍾	720
👐	720
❣	712
🙌🏾	710
⛽	709
🚮	706
✔	692
🤓	670
🖕🏾	662
🏃	655
💵	642
🤐	629
💃	615
💎	605
😰	605
🤷	603
💪🏼	595
👇	588
🙏🏾	578
☝	576
😧	575
🙌🏽	575
💥	572
💏	569
💪🏽	562
💲	555
❄	554
👣	542
👩	542
✋	531
🍰	526
👶	524
😵	524
🤢	518
🎵	498
😻	498
👿	494
🕺	491
🍹	490
☹	488
🤤	484
👎	480
🎤	479
🍫	468
🤕	468
👋	461
🌎	460
👫	450
🍸	449
🙅	449
🏀	447
🎀	441
💫	440
💪🏿	435
👌🏾	430
🙏🏽	426
🍑	424
⬇	420
🍺	419
👁	417
👉	416
🌸	413
👹	399
💅	397
🤒	392
😦	392
🚨	382
💑	382
🤧	380
💁🏾	379
🐶	378
🍕	372
🍔	371
🎆	369
👼	365
👌🏽	362
🚫	356
🍦	355
🏈	348
👨	346
🙉	340
🍨	339
🍃	332
👏🏾	326
🎅	325
🍓	324
✌🏾	319
🌻	319
👭	317
💤	317
🐱	312
😹	305
🖕🏿	303
👏🏽	300
🚘	299
🍟	295
🙋	295
💁🏽	293
👦	289
🤞🏾	288
💃🏾	285
🤷🏿	281
🌼	278
👸	276
👌🏼	276
🤘🏾	273
👊🏾	273
🍒	272
☠	272
🔪	271
🖕🏽	268
👻	268
🎇	266
🤦🏿	264
👧	260
✌🏽	260
🤷🏻	258
💣	258
🌷	258
🤞🏽	257
🍗	256
💐	256
🙏🏿	254
🅿	253
💄	252
🦃	250
💭	248
🐕	246
🌟	246
⭐	245
🖕🏼	243
🚗	241
🌍	240
🔊	239
🙌🏿	235
♏	230
🍁	229
🤡	227
🌈	225
🎼	224
❌	223
🌊	223
🙏🏼	221
🎧	220
🚶	219
🤷🏼	216
🙏🏻	214
👌🏻	213
⛄	213
📲	212
🏃🏾	212
‼	208
✅	208
🍧	206
‼️	205
🙅🏾	203
🍼	202
🏌	202
🏠	202
🙌🏼	202
💉	201
👏🏼	199
🤦🏼	199
🐻	196
👍🏼	191
🐸	187
👽	187
🏫	186
🍀	186
🤞	184
✈	183
🤦🏻	182
📌	182
🌿	179
🍝	177
❕	177
👈	176
🖕🏻	176
♀️	175
🏆	172
🌬	172
🙌🏻	171
🍂	170
🐟	169
🌺	164
🍭	160
✌🏼	160
☀	159
💳	156
✊🏾	155
🤘🏽	154
✌🏻	153
🙅🏽	152
💌	152
🥂	151
👍🏻	150
👌🏿	149
🐈	148
🐝	147
🦄	146
👂	145
📚	144
🐍	142
🍽	140
🌏	139
💧	139
💪🏻	138
🍩	137
🕊	137
🌧	137
✂	136
⚠	135
💃🏽	135
👏🏻	134
👊🏽	134
🖖	133
🍳	132
™	132
🎯	132
🌴	131
🏡	130
💼	130
🍪	125
👪	125
🐇	124
🍤	122
✌🏿	121
📖	120
👠	118
⚡	118
🍴	117
💊	117
🏃🏽	116
🙇	116
🌮	116
🙆	115
♠	113
👃	113
👥	111
👊🏼	111
📢	110
👊🏿	108
✝	108
🍞	106
🍬	106
📱	104
♿	104
🎓	103
🤘🏼	103
🖐	102
🍅	102
🍎	101
♋	101
🐐	100
🤘🏻	98
🌨	98
☃	97
🌲	96
♐	95
🍖	95
🍇	95
🤞🏼	94
👋🏾	92
👐🏾	92
🌽	92
💡	91
🍍	90
⬆	90
🍲	90
👍🏽	90
💃🏿	90
🍌	89
🦋	88
☔	86
🎃	85
👍🏾	85
💁🏻	84
🍵	82
👰	82
🐘	81
👓	81
👗	81
⚾	81
💆	81
💇	81
🥀	81
🅱	80
💒	80
🛫	80
🦂	79
🤘🏿	79
🦁	78
♔	78
🐰	78
🚬	78
📣	77
💁🏿	77
🔓	77
🎗	77
☁	77
♂️	76
🤠	76
👋🏽	76
🍊	76
♒	75
🔨	74
🎬	74
🤞🏻	74
🏃🏿	74
🙋🏾	74
♡	73
👯	73
🌠	73
💅🏾	71
👏🏿	70
📸	70
⭕	70
🎸	70
😸	70
🏵	70
🐀	70
📍	70
🍉	70
👎🏾	69
😽	69
👊🏻	69
🎙	68
🚿	68
✔️	68
🙋🏽	68
🍜	67
📺	67
🗡	67
👸🏽	66
➡	66
✊🏽	65
🔯	65
🍋	64
🎒	63
📂	63
♀	63
🐼	62
💁🏼	62
🤙	62
🌙	62
🐷	61
🚔	61
🤙🏽	61
🤙🏾	61
⚽	61
💈	61
🙆🏾	61
📝	60
❗️	60
👟	60
⚰	60
😿	60
🖐🏾	59
⛅	59
☑	59
🕯	59
👙	58
🐒	57
❄️	57
🔑	57
👮	57
👇🏼	57
🌳	57
👶🏾	56
👳🏾	55
♊	55
♌	55
♎	55
👼🏾	55
👢	55
🌚	55
🍿	54
❓	54
🆗	54
🐢	53
🙅🏻	53
🚀	53
👺	53
👐🏼	53
⏳	52
♍	52
👇🏽	52
💃🏼	52
📷	51
🧀	51
🏁	51
🎥	50
👵	50
⬇️	50
🎅🏽	50
🌫	50
⁉	49
🚧	49
⏬	49
👆🏾	48
🌱	48
⏰	47
♉	47
🐎	47
👖	47
🎲	47
🌌	47
🐖	46
🔮	46
🎮	46
🎱	46
🍐	45
🐞	45
🍡	45
🍯	45
👤	45
🛐	45
😺	45
🕵	45
😾	45
🗑	44
🔌	44
👶🏽	44
🛑	44
🤸🏾	44
🌛	44
👐🏻	44
🍄	44
✊🏼	43
✊🏿	43
❔	43
⚓	43
🔧	43
👬	43
🌝	43
👋🏼	43
©	43
🌭	43
🐠	42
👨🏻	42
☕️	42
🚪	42
👕	42
🤙🏿	42
🤞🏿	42
☄	42
🙇🏾	42
🦀	41
♓	41
📿	41
🐺	41
👼🏻	41
🖐🏽	41
🗽	41
💅🏽	41
👰🏽	41
🛠	41
⤵	41
👐🏽	41
🚩	40
👜	40
💻	40
®	40
⌚	40
🐔	39
🐩	39
🐵	39
🐾	39
💢	39
✋🏽	39
🐓	38
🙅🏿	38
👎🏽	38
🚓	38
👔	38
🤙🏼	38
♨	37
🐴	37
🇯🇲	37
🎨	37
🤥	37
🌜	37
🍱	36
👼🏽	36
🛍	36
👇🏿	36
♈	35
🍣	35
👎🏻	35
🎭	35
➕	35
🌵	35
🐫	34
☝🏾	34
👧🏽	34
🛌	34
👴	34
👾	34
♥️	34
🥃	34
😼	34
🙍	34
🍛	33
🚂	33
🐯	33
🚌	33
👇🏾	33
✊🏻	32
🚶🏾	32
🐧	32
💆🏽	32
🔝	32
👶🏼	32
👵🏻	32
🌃	32
🏋	32
🇱🇷	32
♂	32
🍏	31
👉🏾	31
🐽	31
🎎	31
🌅	31
🦍	30
🔞	30
👚	30
👍🏿	30
🎷	30
🛩	30
🏖	30
🕴	30
🆙	30
🐂	30
🐬	29
📽	29
🚼	29
🛏	29
🏄	29
🏎	29
🙇🏽	29
🥓	29
🇲🇽	29
🥗	29
🌪	29
🚶🏿	28
🐥	28
☝🏽	28
👒	28
👡	28
🛁	28
⛏	28
👴🏻	28
💶	28
✋🏾	28
💇🏾	27
🙅🏼	27
🐪	27
👇🏻	27
🌄	27
💴	27
✋🏼	27
🌾	27
🐊	27
🐋	27
✏	27
🐚	26
📦	26
🇵🇷	26
🚛	26
💆🏾	26
🎹	26
🏅	26
🌑	26
🕺🏽	26
🌕	26
🥊	26
🇭🇹	26
⛪	26
🕷	26
🙀	26
🌰	26
🌶	26
📆	26
🐁	26
⏩	26
❣️	25
🐜	25
🚶🏽	25
🚙	25
🚦	25
🔜	25
👞	25
